名前,ID,アクタータイプ,座標X,座標Y,座標Z,回転X,回転Y,回転Z,大きさX,大きさY,大きさZ,モデルのパス,優先度,ゲームタグ,当たり判定無視,トリガー,重力を受ける,コリジョンの半径,コリジョンの高さ,パスをまとめたパス
Sky4,131,Stage,-14.07575,9.109707,16.73303,0,0,0,5,5,5,Sky/Sky_cloud,Static,Sky,1,1,0,0,0,None
DBK_Concete_Floor_Full (1),4,Stage,7.5,0,15,2.504478E-06,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (2),5,Stage,7.5,0,30,2.504478E-06,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (3),103,Stage,7.5,0,45,2.504478E-06,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (17),292,Stage,7.5,0,225,2.504478E-06,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (18),127,Stage,7.5,0,240,2.504478E-06,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (19),231,Stage,7.5,0,255,2.504478E-06,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (20),68,Stage,15,0,270,2.504478E-06,0,0,10,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (21),243,Stage,-15,0.01,270.08,0,45,0,10,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (22),31,Stage,36.2,0.01,291.27,0,315,0,10,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (5),261,Stage,7.5,0,105,2.504478E-06,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (6),18,Stage,7.5,2,120,2.504478E-06,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (13),208,Stage,12,3.99,140,2.504478E-06,0,0,2,2,2,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (48),144,Stage,0,-2.5,138.22,2.504478E-06,0,0,1,10,1,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (14),119,Stage,-2.68,5.84,149.05,2.504478E-06,0,0,2,2,2,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (15),134,Stage,2.78,10.13,155.55,2.504478E-06,0,0,2,2,2,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (9),155,Stage,12.5,-3,133.28,2.504478E-06,0,0,8,2,12,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (7),153,Stage,7.5,2,120,90,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (23),43,Stage,9,15,15,90,0,0,6,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (28),195,Stage,25.5,15,59.6,90,0,0,6,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (34),176,Stage,25.5,15,104.6,90,0,0,6,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (38),66,Stage,25.5,-12,135,270,0,0,6,2,9,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (46),178,Stage,25.5,-5,225,270,0,0,6,2,15,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (42),173,Stage,29.1,12,181.5,270,0,0,6,2,9,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (39),281,Stage,-7.2,-12,135,270,0,0,6,2,9,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (47),2,Stage,-7.2,-5,225,270,0,0,6,2,15,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (43),109,Stage,-11.1,12,181.5,270,0,0,6,2,9,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (29),279,Stage,-25.5,15,60,90,180,0,6,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (35),222,Stage,-25.1,15,105,90,180,0,6,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (24),187,Stage,7.5,15,15,90,90,0,6,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (25),191,Stage,7.5,15,33,90,90,0,9,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (36),46,Stage,7.5,15,105,90,90,0,10,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (30),48,Stage,22.5,15,60,90,90,0,9,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (32),183,Stage,-22.5,15,60,90,90,0,9,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (31),128,Stage,22.5,15,87,90,90,0,6,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (33),304,Stage,-22.5,15,87,90,90,0,6,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (26),1,Stage,-7.5,15,15,90,90,0,6,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (27),149,Stage,-7.5,15,33,90,90,0,9,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (37),230,Stage,-7.5,15,105,90,90,0,10,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (40),17,Stage,-11.5,35,133.5,90,90,0,16,2,15,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (41),70,Stage,11.5,35,181.5,90,270,0,16,2,15,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (44),334,Stage,23,40,224.7,90,270,0,16,2,15,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (45),287,Stage,-23,40,224.93,90,270,0,16,2,15,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (8),157,Stage,7.5,-13,135,270,0,0,5,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (10),28,Stage,12,12.03,166.8,2.504478E-06,0,0,8,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (11),184,Stage,12.5,12.03,166.8,90,0,0,8,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (12),332,Stage,22.5,-2.97,181.8,270,0,0,15,2,5,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (4),254,Stage,22.5,0,60,2.504478E-06,0,0,15,2,15,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concete_Floor_Full (16),52,Stage,22.5,0,180,2.504478E-06,0,0,15,2,15,Stage2/DBK_Concete_Floor_Full,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A,235,Stage,-0.24,-4.54,158.41,2.504478E-06,0,0,5,5,5,Stage2/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A (1),268,Stage,-5.46,-8.81,152.17,2.504478E-06,0,0,5,5,5,Stage2/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A (2),34,Stage,8.78,-10.63,143.38,2.504478E-06,0,0,5,5,5,Stage2/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A,90,Stage,-7,0,104.69,2.504478E-06,0,0,5,5,5,Stage2/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A (3),54,Stage,-7,0,134.88,2.504478E-06,0,0,5,5,5,Stage2/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A (1),35,Stage,7,0,104.69,2.504478E-06,0,0,5,5,5,Stage2/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
DBK_Concrete_Pillar_A (4),181,Stage,7,0,134.88,2.504478E-06,0,0,5,5,5,Stage2/DBK_Concrete_Pillar_A,Static,Object,1,1,0,0,0,None
Plane,212,Stage,0,0.4,61.7,0,0,0,5,1,13,Collision/Plane,Static,Object,0,0,0,0,0,None
Plane (1),295,Stage,0,-2.6,150.5,0,0,0,5,1,5,Collision/Plane,Static,Object,0,0,0,0,0,None
Plane (4),147,Stage,0,2.4,127.49,0,0,0,2,1,1.5,Collision/Plane,Static,Object,0,0,0,0,0,None
Plane (5),74,Stage,0,-0.1,120,270,0,0,2,1,0.5,Collision/Plane,Static,Object,0,0,0,0,0,None
Plane (6),286,Stage,0,-0.1,135,90,0,0,3,1,0.5,Collision/Plane,Static,Object,0,0,0,0,0,None
Plane (7),133,Stage,12.5,5,135,0,90,90,2,1,1,Collision/Plane,Static,Object,0,0,0,0,0,None
