Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Block_Stone,0,-9.3,0,0,0,0,5000,1000,3000
Block_Stone (1),88.8,-9.3,0,0,0,0,5000,1000,3000
Rock2,-0.08134842,-1.5,11,-9.334667E-06,0,0,3,3,3
Rock2,-17.66865,-1.5,11.8,0,37.17,0,3,3,3
Rock2,-23,-1.5,8.2,-9.334675E-06,329.095,2.035555E-12,3,3,3
Rock2,-32.06811,-1.5,2.771757,-9.334675E-06,329.095,2.035555E-12,3,3,3
Rock2,-29.43303,-1.5,5.281502,0,6.265049,0,3,3,3
Rock2,-38.50114,-1.5,-0.1467166,0,6.265049,0,3,3,3
Rock2,-21.38189,-1.5,-5.131758,-9.334675E-06,329.095,2.035555E-12,3,3,3
Rock2,-30.45,-1.5,-10.56,-9.334675E-06,329.095,2.035555E-12,3,3,3
Rock2,-27.81493,-1.5,-8.050256,0,6.265049,0,3,3,3
Rock2,-36.88303,-1.5,-13.47847,0,6.265049,0,3,3,3
Rock2,-6.33,-1.5,-9.87,-9.334683E-06,355.5233,2.569888E-12,3,3,3
Rock2,-16.86642,-1.5,-10.69494,-9.334683E-06,355.5233,2.569888E-12,3,3,3
Rock2,-13.3897,-1.5,-9.62029,0,32.69338,0,3,3,3
Rock2,-23.92611,-1.5,-10.44521,0,32.69338,0,3,3,3
Rock2,17,-1.5,-9.6,-9.334683E-06,355.5233,2.569888E-12,3,3,3
Rock2,6.463585,-1.5,-10.42494,-9.334683E-06,355.5233,2.569888E-12,3,3,3
Rock2,9.940298,-1.5,-9.35029,0,32.69338,0,3,3,3
Rock2,-0.5961075,-1.5,-10.17521,0,32.69338,0,3,3,3
Rock2,11.66359,-1.5,11.07506,-9.334683E-06,355.5233,2.569888E-12,3,3,3
Rock1,0,0,18.96,270,0,0,100,100,100
Rock1,39.89,0,18.96,270,0,0,100,100,100
Rock1,77.3,0,18.96,270,0,0,100,100,100
Rock1,121.3,0,18.96,270,0,0,100,100,100
Rock1,28.78,-7.1,-17.22,0,180,0,100,100,100
Rock1,66.41,-8.25,-1.19,0,241.1759,0,120,120,120
Rock1,99.64,-12.07,1.18,0,180,0,200,200,200
Rock1,-15.1,-4.7,-57,0,180,0,300,300,300
Rock1,90.3,-4.7,-57.1,0,180,0,300,300,300
Rock1,171.0693,-4.7,-87.04993,0,119.3778,0,300,300,300
Rock1,137,-15.5,-30,0,51.79145,0,300,300,300
